site,n_observed,ih_definite,ih_suspect_only,ih_incl_suspect,share_of_all_definite_cases
5,9665,"3.0% (290/9,665)","1.4% (135/9,665)","4.4% (425/9,665)",41.4%
10,2182,"3.6% (79/2,182)","0.1% (2/2,182)","3.7% (81/2,182)",11.3%
15,2337,"1.0% (24/2,337)","0.2% (4/2,337)","1.2% (28/2,337)",3.4%
31,1762,"1.9% (34/1,762)","0.1% (2/1,762)","2.0% (36/1,762)",4.9%
37,2667,"0.6% (16/2,667)","0.1% (3/2,667)","0.7% (19/2,667)",2.3%
45,2321,"2.1% (48/2,321)","0.3% (7/2,321)","2.4% (55/2,321)",6.8%
50,2590,"3.0% (77/2,590)","0.5% (12/2,590)","3.4% (89/2,590)",11.0%
55,3263,"1.0% (31/3,263)","0.1% (2/3,263)","1.0% (33/3,263)",4.4%
60,2630,"1.1% (29/2,630)","0.5% (13/2,630)","1.6% (42/2,630)",4.1%
66,7141,"0.4% (31/7,141)","0.0% (0/7,141)","0.4% (31/7,141)",4.4%
71,3147,"1.2% (38/3,147)","1.6% (50/3,147)","2.8% (88/3,147)",5.4%
82,1014,"0.4% (4/1,014)","0.0% (0/1,014)","0.4% (4/1,014)",0.6%
All sites,40719,"1.7% (701/40,719)","0.6% (230/40,719)","2.3% (931/40,719)",100.0%
